sdk,version,status,provider,model,endpoint,latency_ms,cost_usd,cost_status,request_id,timestamp,error
android,3.1.2,passed,qwen,qwen-turbo,/v1/chat/completions,928,1.7e-06,exact,61aef2f9-594e-4686-b6de-93ff9584465a,2026-09-15T00:40:39Z,
java,3.1.2,passed,openai,openai/gpt-4o-mini,/v1/chat/completions,936,4.2e-06,exact,90118d9b-3a7e-4770-a151-4ba58164a1be,2026-09-15T00:40:37Z,
r,3.1.2,passed,anthropic,claude-haiku-4-5-20251001,/v1/messages,1196,1.9e-05,exact,f61f2c9d-b9d6-4e5d-a6cc-e9cdcbc4836f,2026-09-15T00:40:38Z,
go,3.1.2,passed,qwen,qwen-turbo,/v1/chat/completions,845,1.7e-06,exact,309fa612-211c-4123-8bbe-f07c70677189,2026-09-15T00:40:37Z,
js,3.1.2,passed,anthropic,claude-haiku-4-5-20251001,/v1/messages,953,1.9e-05,exact,c2300846-3949-428d-92d9-764c8ec0df91,2026-09-15T00:41:13Z,
python,3.1.2,passed,openai,openai/gpt-4o-mini,/v1/chat/completions,4649,4.2e-06,exact,1b93e108-eff2-4295-b436-7fd5064088a7,2026-09-15T00:40:41Z,
rust,3.1.2,passed,anthropic,claude-haiku-4-5-20251001,/v1/messages,1139,1.9e-05,exact,c83f56f9-8009-47b0-8213-3ca41b5a98de,2026-09-15T00:40:40Z,
swift,3.1.2,passed,anthropic,claude-haiku-4-5-20251001,/v1/messages,1078,1.9e-05,exact,e559b285-d85f-4232-bba0-13a9e888b21e,2026-09-15T00:40:38Z,
dart,3.1.2,passed,openai,openai/gpt-4o-mini,/v1/chat/completions,2305,4.2e-06,exact,bf59ba20-d5ab-4a48-b735-773a09c67a24,2026-09-15T00:40:39Z,
kotlin,3.1.2,passed,qwen,qwen-turbo,/v1/chat/completions,1094,1.7e-06,exact,ec742e09-881a-407b-a94a-bf446d3b5bd5,2026-09-15T00:40:39Z,
